connector_slug,method,claim,paperclip_source,provider_reference,evidence_state,discrepancy_found,disposition
*,all,46 app-store-visible providers; 21 recognized-but-hidden; 2 generic templates; vercel not connectable. No additions or removals vs the 46 documented pages.,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions.ts:6-70 + self-serve-mcp-research.json,,source-verified,none,"Reconciliation stated in revision-notes.md. Vercel has research status 'blocked' and is absent from CONNECTABLE_APP_SLUGS, so its JSON definition is NOT public availability."
*,all,requiredResourceFilters is declarative metadata with no Paperclip-side enforcement.,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/types/app-definition.ts:5; validators/app-definition.ts:9; zero readers under server/src or ui/src,,source-verified,Prior draft implied Paperclip enforces per-resource scope (e.g. Notion 'and only those').,"Rewrote every scope claim to attribute the limit to the provider's consent/token/installation, not Paperclip. Only Google Sheets robot has real Paperclip-side resource enforcement."
*,managed OAuth,Paperclip-managed ('Connect with Paperclip') paths are unavailable unless the instance is enrolled with Paperclip Cloud and the specific connector profile is enabled.,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions.ts:72-77 (platform_shared:false by default); server/src/services/paperclip-cloud-connector.ts:487-511 appWithPaperclipCloudConnectorAvailability,,source-verified,Prior draft presented managed paths as generally available.,"Every affected page now states the enrollment gate before the reader picks a path. Confirmed by server/src/__tests__/tool-access-service.test.ts:5175,5198 (nonPilot false / pilot true)."
*,channels,All 7 messaging channels require the instance experimental setting Chat connectors; default off.,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/validators/instance.ts:54 (default false); server/src/services/email-channels.ts:132-139; ui/src/pages/InstanceExperimentalSettings.tsx:329-336,,source-verified,Prior channel pages omitted the gate.,"Added as the first prerequisite on all 7 channel pages, with the exact UI title 'Chat connectors'."
*,all,Three action states are Allowed / Ask first / Off; risk classes are read / write / destructive.,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa server/src/services/tool-access.ts classifyRisk; docs/connectors/access-model.md,,source-verified,none,Kept in the shared guide; provider pages link to it and only note provider-specific exceptions.
*,all,New connections default to all agents with no Ask-first risk levels preselected.,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions.ts:245-257 recommendedDefaultsForApp,,source-verified,none,"Stated once in the shared access guide, not repeated per provider."
*,all,New and changed discovered tools can be quarantined; managed Cloud-connector connections always set quarantineNewEntries.,"paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa server/src/services/tool-access.ts:7764-7790, 12665-12678",,source-verified,none,Described as changed-tool behaviour in the shared verify guide and on managed pages.
gmail,gmail.draft,"The gmail.compose scope permits sending at Google, but Paperclip's Google Workspace allowlist exposes only create_draft, so sending is not reachable.",paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/google-workspace-connectors.ts:20 (writeTools ['create_draft']); server/src/services/tool-access.ts isGoogleWorkspaceToolAllowed + GOOGLE_WORKSPACE_READ_TOOLS.gmail,https://developers.google.com/workspace/gmail/api/auth/scopes (read 16 Sep 2026),source-verified,Prior draft implied the scope itself prevents sending.,Gmail page now separates credential permission from Paperclip enforcement. Confirmed by server/src/services/gmail-tool-governance.test.ts:30 (send_message -> false).
gmail,all,Gmail requires Google Workspace Developer Preview registration of both the authorizing Workspace email and the Cloud project that owns the OAuth client.,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/gmail.json setupPrerequisite,https://developers.google.com/workspace/preview (read 16 Sep 2026),source-verified,none,Stated before any setup step on gmail.md and gmail-setup.md.
google-*,read/write,"Verified read and write tool names per Google connector; tools outside the reviewed list are permanently disabled, not merely unpermitted.",paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/google-workspace-connectors.ts:16-37; server/src/services/tool-access.ts GOOGLE_WORKSPACE_READ_TOOLS and status 'disabled' at 7776-7789,,source-verified,Prior pages said the action list is whatever the provider supplies.,Each Google page now lists its actual reviewed operations instead of deferring to dynamic discovery.
google-drive,drive.write,"Write group exposes only copy_file and create_file. No delete, move, or share action exists.",paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/google-workspace-connectors.ts:21,,source-verified,Prior page implied general write/share/delete capability.,Corrected on google-drive.md.
google-sheets,local,"The Paperclip robot path needs GOOGLE_SHEETS_SERVICE_ACCOUNT_JSON on the instance, needs at least one pasted sheet link, and genuinely enforces the pasted spreadsheet allowlist.","paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa server/src/services/tool-access.ts googleSheetsRobotEmailFromEnv + isGoogleSheetsRobotMethod branch (allowedSpreadsheetIds, assertGoogleSheetsSpreadsheetOwnership)",,source-verified,none,Documented as the one connector with Paperclip-side resource enforcement; unavailable message quoted exactly.
github,managed,Shell Git and gh receive the connection identity for the run and are not constrained by per-tool Ask-first controls.,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/github.json methods[0].warnings,,source-verified,none,"Preserved verbatim in meaning on github.md, github-setup.md and the shared access guide; no claim that other connectors are sandboxed."
github,managed,"github.code declares no OAuth scopes and no reviewed writeTools; repository reach comes from the GitHub App installation, not a Paperclip allowlist.",paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/github-connectors.ts:11-18,,source-verified,Prior draft implied Paperclip constrains GitHub repository scope.,github.md now points the reader at GitHub's installation settings for repository scope.
github,chat-agent,"Chat route needs a customer GitHub App with App ID + PEM private key, Paperclip-generated webhook secret, Issues and Pull requests read/write, and the issue_comment and pull_request_review_comment events.",paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/github.json methods[2].guidanceMd/credentialFields,,source-verified,none,Documented as a separate procedure from the tool route.
notion,mcp-oauth,"Notion supports DCR, so browser sign-in is the default path and a customer OAuth app is an advanced alternative, not a requirement.",paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/notion.json (ownershipModes customer+dcr); app-definitions.ts connectionMethodSupportsAutomaticOAuth / connectionMethodRequiresConfiguration:181-198,https://developers.notion.com/guides/mcp/overview (read 16 Sep 2026),source-verified,Prior draft treated 'your own OAuth app' as a co-equal required path.,notion.md leads with browser sign-in; own-app is a disclosure.
notion,mcp-oauth,"Reviewed Notion catalog: 9 read tools and 11 write tools, listed explicitly in code because move/duplicate/convert do not match generic verbs.",paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa server/src/services/tool-access.ts NOTION_READ_TOOLS / NOTION_WRITE_TOOLS,,source-verified,Prior page gave no concrete operations.,notion.md names representative operations and links to the live list.
notion,mcp-oauth,Workspace/page/database reach is set by what the operator shares with the integration at Notion's consent screen; Paperclip does not narrow it.,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa requiredResourceFilters non-enforcement above,https://developers.notion.com/guides/mcp/overview (read 16 Sep 2026),source-verified,'and only those' was presented as a Paperclip guarantee.,Reworded to attribute the boundary to Notion sharing.
agentmail,email-agent,AgentMail is a channel on rest_api transport with a fixed built-in agent toolset (inboxes / thread / send / delivery); it does not expose a discovered MCP action list.,"paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/agentmail.json; server/src/services/connectors/agentmail.ts:1-70,104",,source-verified,Prior page claimed MCP tool discovery and a generic action list.,agentmail.md rewritten to the channel shape; generic action-permissions section removed.
agentmail,email-agent,Agents may only use inboxes assigned to them; a thread whose endpoint is not an assigned inbox is refused. Internal comments and final responses never send email. Sending does not close the task.,"paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa server/src/services/connectors/agentmail.ts:10,134-170",,source-verified,none,Documented as the routing and boundary rules.
agentmail,email-agent,"Receiving works over a maintained WebSocket connection, so no public ingress URL is required.",paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/agentmail.json guidanceMd; server/src/services/email-channels.ts (reconnect/backoff loop),https://docs.agentmail.to/inboxes (read 16 Sep 2026),source-verified,none,Stated as a prerequisite difference from webhook-based channels.
anthropic|openai|openrouter|xai,ai-*,"Model credentials are runtime_auth connections, never tools or channels. Adapter compatibility: claude_local / codex_local / opencode_local / grok_local.","paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/ai-connections.ts:1-24,70-136",,source-verified,Prior pages used the generic tool/OAuth template.,All four pages rewritten to the model-provider shape with no action list.
openrouter,ai-api_key,OpenRouter has no subscription method and additionally requires the selected model id to start with openrouter/.,"paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/ai-connections.ts:95-100,130-134 isAiConnectionCompatible",,source-verified,Prior page implied parity with the other model providers.,Stated as a named constraint on openrouter.md.
xai,ai-subscription,"xAI methods require an agent on the grok_local adapter. grok_local is a real reachable adapter, but the paperclip_runner harness only resolves to claude_local/codex_local/opencode_local, so a runner-based agent is incompatible.",paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/ai-connections.ts:107-125,,unverified-at-runtime,Not previously documented.,xai.md states the adapter requirement and flags it as a compatibility limit. Runtime confirmation not performed - no live run in this drafting task.
openai|xai,ai-subscription,Preview-era OpenAI and xAI subscription credentials must be reconnected (isolated login).,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/ai-connections.ts aiSubscriptionNeedsIsolatedLogin,,source-verified,none,Added to the troubleshooting section of both pages.
zapier,generated-url,The generated Zapier MCP URL carries the bearer token in the URL itself.,"paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/zapier.json guidanceMd ('The token remains embedded in that URL'), auth:none",https://docs.zapier.com/mcp/quickstart (read 16 Sep 2026),source-verified,Prior page described a no-auth endpoint without flagging the secret.,zapier.md now treats the URL as a credential; no real URL shown; rotation guidance added.
shopify,ucp-commerce|storefront-mcp,"Public, no-login shopper-facing endpoints. Not Admin API: no merchant products, orders, or customers. Private or password-protected storefronts return HTTP 401 even for a signed-in merchant. Store domain must be the permanent *.myshopify.com host.",paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/shopify.json warnings + setupPrerequisite + tenantFields validation,https://shopify.dev/docs/apps/build/storefront-mcp/servers/storefront (read 16 Sep 2026),source-verified,none,Preserved and moved before credential entry. Also records that Paperclip currently sends Shopify's documented hosted agent-profile fixture.
shopify,ucp-commerce,"cancel-cart, cancel-checkout and complete-checkout are hard-classified destructive.",paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa server/src/services/tool-access.ts SHOPIFY_DESTRUCTIVE_TOOLS,,source-verified,none,Noted so the reader understands why they default to review.
posthog,mcp-*,PostHog tools are treated as write unless the provider annotates readOnlyHint; exec is hard-classified destructive; connections are created with safeDefault.,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa server/src/services/tool-access.ts classifyRisk + 12662,,source-verified,none,Explained on posthog.md as a deliberate conservative default.
postman,6 methods,"Three capability groups (Minimal / Code / Full) crossed with two regions: US uses browser sign-in, EU requires an API key.",paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/postman.json,https://learning.postman.com/latest-v-12/docs/reference/postman-api/postman-mcp-server/postman-mcp-remote-server (read 16 Sep 2026),source-verified,Prior page exposed six internal method IDs.,"postman.md asks region first, then capability group; no method-ID matrix."
pagerduty,mcp-api-key-us|eu,Region is chosen by selecting the US or EU method; there is no single endpoint.,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/pagerduty.json,,source-verified,none,Region decision placed before the token step.
*,all,"No connector page was runtime-tested in this iteration. No live external write, send, or delete was performed.",this drafting task,,unverified-at-runtime,n/a,"Every 'Try it' example is written as an author-validated procedure against current source, explicitly not labelled tested."
