slug,name,doc_page,store_visibility,inventory_decision,method_key,method_label,purpose,transport,auth,ownership_modes,selectable_without_extra_gate,availability_gate,capability_group,risk_tier,declared_resource_filters,resource_filter_enforced_by_paperclip,provider_side_scope_control,setup_prerequisite,evidence_state,source
agentmail,AgentMail,docs/connectors/agentmail.md,app store visible,KEEP - revised this iteration,email-agent,Email with an agent,channel,rest_api,api_key,customer,yes,"instance experimental setting Chat connectors (enableChatConnectors, default off)",,S3,inbox,NO - declarative metadata only; no server/ui reader exists,permissions of the issued token,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/agentmail.json
airtable,Airtable,docs/connectors/airtable.md,app store visible,KEEP - revised this iteration,mcp-oauth,Sign in with Airtable,tool,mcp_remote,oauth,dcr,yes,none beyond a provider account,,S3,,n/a,provider OAuth consent screen,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/airtable.json
anthropic,Anthropic,docs/connectors/anthropic.md,app store visible,KEEP - revised this iteration,ai-subscription,Claude subscription,ai,runtime_auth,oauth,customer,yes,none beyond a provider account,,S3,,n/a,provider OAuth consent screen,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/anthropic.json
anthropic,Anthropic,docs/connectors/anthropic.md,app store visible,KEEP - revised this iteration,ai-api_key,Claude API key,ai,runtime_auth,api_key,customer,yes,none beyond a provider account,,S3,,n/a,permissions of the issued token,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/anthropic.json
api-key-generic,API key app,,generic-template (not a provider),NO PAGE - covered by custom-mcp-servers.md,api-key,(unlabelled),tool,rest_api,api_key,customer,yes,none beyond a provider account,,S3,,n/a,permissions of the issued token,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/api-key-generic.json
asana,Asana,docs/connectors/asana.md,app store visible,KEEP - revised this iteration,mcp-own-oauth,Use your own OAuth app,tool,mcp_remote,oauth,customer,yes,none beyond a provider account,,S3,,n/a,provider OAuth consent screen,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/asana.json
beehiiv,beehiiv,,"recognized, withheld from Browse",NO PAGE - withheld from Browse; existing connections keep working,mcp-oauth,Sign in with beehiiv,tool,mcp_remote,oauth,dcr,yes,none beyond a provider account,,S3,,n/a,provider OAuth consent screen,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/beehiiv.json
bitly,Bitly,,"recognized, withheld from Browse",NO PAGE - withheld from Browse; existing connections keep working,mcp-oauth,Sign in with Bitly,tool,mcp_remote,oauth,dcr,yes,none beyond a provider account,,S2,,n/a,provider OAuth consent screen,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/bitly.json
bitly,Bitly,,"recognized, withheld from Browse",NO PAGE - withheld from Browse; existing connections keep working,mcp-api-key,Use an API key,tool,mcp_remote,api_key,customer,yes,none beyond a provider account,,S2,,n/a,permissions of the issued token,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/bitly.json
box,Box,docs/connectors/box.md,app store visible,KEEP - revised this iteration,mcp-own-oauth,Use your own OAuth app,tool,mcp_remote,oauth,customer,yes,none beyond a provider account,,S3,,n/a,provider OAuth consent screen,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/box.json
brex,Brex,,"recognized, withheld from Browse",NO PAGE - withheld from Browse; existing connections keep working,mcp-oauth,Sign in with Brex,tool,mcp_remote,oauth,dcr,yes,none beyond a provider account,,S4,,n/a,provider OAuth consent screen,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/brex.json
candid,Candid,,"recognized, withheld from Browse",NO PAGE - withheld from Browse; existing connections keep working,mcp-oauth,Sign in with Candid,tool,mcp_remote,oauth,dcr,yes,none beyond a provider account,,S2,,n/a,provider OAuth consent screen,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/candid.json
clickhouse,ClickHouse,docs/connectors/clickhouse.md,app store visible,KEEP - revised this iteration,mcp-oauth,Sign in with ClickHouse,tool,mcp_remote,oauth,dcr,yes,none beyond a provider account,,S4,service,NO - declarative metadata only; no server/ui reader exists,provider OAuth consent screen,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/clickhouse.json
cloudflare,Cloudflare,docs/connectors/cloudflare.md,app store visible,KEEP - revised this iteration,mcp-oauth,Sign in with Cloudflare,tool,mcp_remote,oauth,dcr,yes,none beyond a provider account,,S3,,n/a,provider OAuth consent screen,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/cloudflare.json
cloudflare,Cloudflare,docs/connectors/cloudflare.md,app store visible,KEEP - revised this iteration,mcp-api-key,Use an API key,tool,mcp_remote,api_key,customer,yes,none beyond a provider account,,S3,,n/a,permissions of the issued token,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/cloudflare.json
cloudinary,Cloudinary,docs/connectors/cloudinary.md,app store visible,KEEP - revised this iteration,mcp-oauth,Sign in with Cloudinary,tool,mcp_remote,oauth,dcr,yes,none beyond a provider account,,S3,,n/a,provider OAuth consent screen,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/cloudinary.json
coda,Coda,,"recognized, withheld from Browse",NO PAGE - withheld from Browse; existing connections keep working,mcp-oauth,Sign in with Coda,tool,mcp_remote,oauth,dcr,yes,none beyond a provider account,,S3,,n/a,provider OAuth consent screen,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/coda.json
